2020-04-03 15:44:57,299 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Demo_test:Demo_test:0.0.1-SNAPSHOT @ C:\Users\ssorakaylu\workspace1\Demo_test\pom.xml.
2020-04-03 15:44:57,348 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Sample:Sample:0.0.1-SNAPSHOT @ C:\Users\ssorakaylu\workspace1\Sample\pom.xml.
2020-04-03 15:44:57,821 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Demo_test/src
2020-04-03 15:44:57,822 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Demo_test/src/test/java because it overlaps with /Demo_test/src
2020-04-03 15:44:57,882 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Sample/src
2020-04-03 15:44:57,883 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Sample/src/test/java because it overlaps with /Sample/src
2020-04-03 15:44:57,918 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 2 project(s) in 2 sec
2020-04-03 15:44:58,402 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Demo_test:Demo_test:0.0.1-SNAPSHOT @ C:\Users\ssorakaylu\workspace1\Demo_test\pom.xml.
2020-04-03 15:44:58,498 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Sample:Sample:0.0.1-SNAPSHOT @ C:\Users\ssorakaylu\workspace1\Sample\pom.xml.
2020-04-03 15:44:58,662 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2020-04-03 15:44:58,666 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ssorakaylu\workspace1\Demo_test\src\main\resources
2020-04-03 15:44:58,670 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
